conceptualClassiCode,conceptualClassiName
888339,PVDF概念
889118,汽车制造
888428,宠物经济
889143,医疗服务
888436,高压氧舱
888408,猴痘概念
888038,分散染料
889171,食品加工
888262,氢氟酸
886021,西藏
883900,昨日涨停
889207,电池
889194,服装家纺
889230,个护用品
888078,氟化工
888403,露营经济
888335,CRO概念
888351,EDR概念
888329,盐湖提锂
889134,纺织制造
888256,仿制药一致性评价
889218,小家电
888352,动力电池回收
888308,环氧丙烷
888299,室外经济
889166,化学制药
888069,禽流感
889152,交运设备
889148,造纸行业
888345,培育钻石
888138,乳业
888432,创新药
888320,新冠检测
888284,消毒液
888070,生物医药
888449,新冠特效药
888239,眼科医疗
888361,幽门螺杆菌概念
889120,家居用品
889142,生物制品
888164,养鸡
888281,流感
888246,动物疫苗
889229,环保设备
889107,稀有金属
888252,青蒿素
888402,肝炎概念
889115,医疗器械
888386,两轮车
888359,预制菜
888071,芬太尼
888298,海南自贸区
888333,牙科医疗
889223,非金属材料
888036,猪肉
888336,钠离子电池
889156,医药商业
888265,钴
888075,医药电商
889169,化学原料
888135,燃料乙醇
889222,农化制品
888199,超级品牌
888123,锂电池
888324,社区团购
888316,有机硅
886028,吉林
888363,新冠治疗
888068,足球概念
888325,医美概念
889132,化学制品
888263,磷化工
888286,消毒剂
888037,钛白粉
888090,三胎概念
888226,冰雪产业
888447,熊去氧胆酸
889164,畜禽养殖
886016,海南
889172,零售行业
888053,啤酒概念
888444,抗原检测
888082,新零售
888248,生物疫苗
889219,厨卫电器
888302,免税店
888182,PM2.5
889181,汽车服务
888445,抗病毒面料
889157,农业服务
889112,综合行业
888379,化肥
888067,燃料电池
888129,宁德时代概念
888086,冷链物流
888251,烟草
888066,工业大麻
888309,代糖概念
888314,辅助生殖
888073,健康中国
889173,物流运输
888273,胎压监测
888304,NMN概念
888307,可降解塑料
889216,电商
886025,宁夏
889113,中药行业
888401,统一大市场
889204,光伏设备
888091,东盟自贸区
888382,金属镍
889198,渔业水产
888217,细胞免疫治疗
886024,青海
888282,口罩
888076,基因测序
888049,黄金概念
888197,草甘膦
888034,自由贸易港
888072,民营医院
888364,重组蛋白
888367,硅能源
889187,金属新材料
888327,华为汽车
888143,生态农业
888060,医疗器械概念
888311,核准制次新股
889114,燃气
889102,旅游景区
888097,电子商务
888101,富士康概念
888331,共同富裕示范区
888095,迪士尼
888400,一季报预增
888028,供应链金融
889170,化学纤维
888061,油品改革
889179,农产品加工
889184,机场航运
888381,金属回收
888156,物流电商平台
888220,小金属概念
888289,超级电容
888031,农村电商
888208,网络直播
888016,固废处理
888232,超级真菌
888109,广东自贸区
889176,饮料制造
888370,民爆概念
888429,光热发电
888231,丙烯酸
888371,净水概念
888187,白酒概念
888131,农业种植
888022,电力改革
888431,供销社
888240,人民币贬值受益
888377,中俄贸易概念
888160,新材料概念
888117,金改
889178,酒店餐饮
888237,台湾概念股
888303,电子烟
888065,氢能源
888384,金属锌
888033,中韩自贸区
888418,钙钛矿电池
888180,MSCI预期
888242,草地贪夜蛾防治
888301,中芯国际概念
886006,山东
888142,深股通
888216,稀土永磁
888054,赛马概念
889108,电力行业
888241,人造肉
888422,生物质能发电
888326,储能
886027,辽宁
889131,港口航运
889116,电源设备
886010,山西
888285,医疗废物处理
886012,河南
888149,特斯拉
888427,空气能热泵
886008,天津
886026,新疆
889135,橡胶制造
888093,大豆
886002,浙江
886030,广东其它
888079,体育产业
888433,世界杯
888288,氮化镓
888184,ST板块
889186,玻璃玻纤
886003,安徽
888390,低辐射玻璃（LOW-E）
886020,云南
888041,摘帽
888161,新股与次新股
888230,透明工厂
886018,四川
888140,上海国资改革
888162,新能源汽车
888051,举牌
888420,减速器
888092,天然气
886015,广西
889161,白色家电
888168,在线旅游
888088,玉米
888441,上海国企改革
888122,跨境电商
889137,工业金属
886005,江西
888297,国家大基金持股
888323,光伏建筑一体化
888347,海峡两岸
888111,核电
888423,TOPCON电池
889130,包装印刷
888148,特高压
888306,汽车拆解概念
888278,网红经济
888043,壳资源
889191,铁路公路
888147,特钢概念
888179,MSCI概念
886031,浦东
888084,家用电器
888083,沪股通
886017,重庆
888141,上海自贸区
888318,物业管理
888398,碳交易
888280,HIT电池
888108,光伏概念
888236,参股银行
888081,网约车
886004,福建
888279,转基因
888023,深圳国资改革
888440,深圳国企改革
888344,绿色电力
888247,富时罗素概念股
888385,金属铜
889205,风电设备
888017,节能环保
888157,稀缺资源
889124,国际贸易
888062,粤港澳大湾区
888222,新疆振兴
888136,融资融券
889215,房地产服务
888255,垃圾分类
888126,煤化工
888099,风电
888411,比亚迪概念
889226,油气工程
888077,充电桩
889199,化工塑料
888233,长三角一体化
888272,非科创次新股
886022,陕西
888414,汽车热管理
888415,债转股(AMC概念)
888357,柔性直流输电
888074,共享单车
889139,钢铁行业
888047,航运概念
888313,第三代半导体
886014,湖南
886011,内蒙古
888383,金属铅
888103,高铁
888296,不动产信托
889119,水泥
888176,证金持股
888350,新型烟草
886023,甘肃
888409,粮食概念
889177,房地产
888275,分拆上市意愿
888172,智能家居
889231,美容护肤
888100,福建自贸区
888443,国企改革
888375,俄乌冲突概念
888312,注册制次新股
886001,江苏
889206,电网设备
888035,债转股
888040,水泥
889111,轨交设备
889228,环境治理
888130,农机
888310,科创次新股
889141,机械制造
886019,贵州
888064,租售同权
888107,股权转让
889175,林业种植
888165,养老概念
888396,恒大概念
888166,页岩气
888167,一带一路
888360,HJT电池
888132,苹果概念
888194,参股券商
888322,碳中和
889167,汽车配件
888271,无线耳机
888153,污水处理
888342,抽水蓄能
888417,钒电池
888204,土地流转
889196,电气机械
889105,工程建设
888410,超临界发电
886029,黑龙江
888213,无人驾驶
889189,装修装饰
888250,黑龙江自贸区
888260,中船系
888198,超导
888192,参股保险
888030,京津冀一体化
888045,高端装备
888134,汽车电子
888059,央企国资改革
888442,央企国企改革
888368,PCB概念
888144,食品安全
889220,电子化学品
888346,换电概念
888190,北汽新能源
886033,深圳
889227,炼化贸易
888261,ETC
888291,C2M概念
888121,可燃冰
888317,煤炭概念
888029,生物质能
889197,通用机械
888218,乡村振兴
888020,创投
888158,消费电子概念
888110,国资驰援
888419,高压快充
888337,专精特新
888003,互联网+
888448,POE胶膜
888089,特色小镇
888050,集成电路概念
888269,染料
888011,大飞机
888018,美丽中国
888295,互联网
886013,湖北
888173,智能电网
888196,参股新三板
888127,能源互联网
888315,拼多多概念
888085,杭州亚运会
886032,上海其它
888174,智能穿戴
888380,托育服务
888024,海工装备
888048,互联网医疗
888139,商誉减值
889123,电子元器件
888169,中字头股票
888392,建筑节能
888063,智能物流
888274,云游戏
888328,REITS概念
888353,汽车芯片
888227,横琴新区
888163,信托概念
889136,消费电子
888294,新三板精选层概念
888039,石墨电极
888397,毛发医疗
888203,通用航空
889121,半导体
888341,NFT概念
888321,快手概念
888425,虚拟电厂
888219,消费金融
886009,河北
888332,MCU芯片
888372,土壤修复
889183,装修建材
888002,石墨烯
888338,工业母机
888032,电子竞技
888235,黑洞概念
889203,航空装备
889209,影视院线
888052,空铁WIFI
889158,房屋建设
888287,航空发动机
888001,蓝宝石
888221,小米概念
888025,军工
889211,出版
889106,航海装备
888155,无线充电
888407,方舱医院
889214,生活服务
888046,国产航母
888124,两桶油改革
889160,多元金融
888177,3D打印
888159,芯片概念
888105,工业4.0
888223,雄安新区
888098,独角兽概念
886007,北京
888058,碳纤维
888104,高校
888202,天津自贸区
888264,光刻胶
888406,噪声防治
888154,无人零售
888019,装配式建筑
888055,手机游戏
888207,网络游戏
888026,军民融合
888185,阿里巴巴概念
888096,电力物联网
888181,OLED
888356,冬奥会
889221,自动化设备
888113,互联网彩票
888211,文化传媒
888137,柔性屏
888404,抖音概念
888183,PPP概念
889163,煤炭开采
888133,期货概念
888189,百度概念
888277,MINILED
888116,节能照明
888115,机器人概念
888228,外资券商影子股
888080,智能音箱
888178,5G
888146,太空互联网
888439,PET铜箔
888426,一体化压铸
888373,智慧灯杆
888354,传感器
888186,安防
889208,游戏
888201,车联网
889212,军工电子
889224,贵金属
888106,工业互联网
888405,新型城镇化
888004,互联网金融
888114,华为概念
888150,腾讯概念
889168,银行
889154,光学电子
889110,基础建设
888340,北交所概念
888013,量子科技
888021,知识产权保护
889232,广告营销
888293,今日头条概念
888112,互联网保险
888224,虚拟现实
888376,CIPS概念
889153,地面兵装
888027,地下管网
888369,字节跳动概念
889213,教育
888175,职业教育
888225,移动支付
889210,数字媒体
889174,计算机设备
888212,无人机
888200,超清视频
888348,智能制造
889182,证券行业
888007,区块链
888416,先进封装（Chiplet）
888214,物联网
888056,水利
888343,元宇宙
888437,Web3.0
888210,卫星导航
888378,跨境支付（CIPS）
888421,机器视觉
888125,蚂蚁金服概念
888044,二维码识别
888171,智能交通
888170,智能医疗
888438,AIGC概念
888008,人工智能
888399,MicroLED概念
888358,虚拟数字人
889126,通信服务
888087,语音技术
888290,数据中心
888009,人脸识别
888389,国资云
888446,数据确权
888244,华为海思概念股
888245,数字乡村
